Lab Code,Species,lipid,c12.0,c13.0,Iso14,c14.0,c14.1w9,c14.1w7,c14.1w5,Iso15,Anti15,c15.0,c15.1w8,c15.1w6,Iso16,c16.0,c16.1w11,c16.1w9,c16.1w7,c7Me16.0,c16.1w5,c16.2w6,Iso17,c16.2w4,c16.3w6,c17.0,c16.3w4,c17.1,c16.3w1,c16.4w3,c16.4w1,c18.0,c18.1w13,c18.1w11,c18.1w9,c18.1w7,c18.1w5,"c18.2d5,11",c18.2w7,c18.2w6,c18.2w4,c18.3w6,c18.3w4,c18.3w3,c18.3w1,c18.4w3,c18.4w1,c20.0,c20.1w11,c20.1w9,c20.1w7,c20.2w9,c20.2w6,c20.3w6,c20.4w6,c20.3w3,c20.4w3,c20.5w3,c22.1w11,c22.1w9,c22.1w7,c22.2w6,c21.5w3,c22.4w6,c22.5w6,c22.4w3,c22.5w3,c22.6w3,c24.1w9
P548           ,squid,1.97,0.01,0,0.01,1.88,0.03,0,0.02,0.07,0.03,0.37,0,0,0.88,23.25,0.14,0.06,0.44,0.12,0.04,0,0.03,0.05,0.02,0.52,0.01,0.04,0,0.09,0.06,4.09,0.3,0.1,1.43,1.81,0.07,0.01,0,0.16,0.03,0.07,0.02,0.07,0.03,0.07,0.05,0.22,0.44,2.76,0.12,0,0.35,0.03,1.49,0.59,1.8,16.01,0.07,0.3,0.07,0,1.41,0.09,0.38,0.01,0.62,36.51,0.37
P549           ,squid,2.17,0.02,0.01,0.03,2.5,0.02,0.02,0.05,0.05,0.03,0.39,0,0,1.1,21.59,0.17,0.06,0.33,0.13,0.04,0,0.03,0.05,0.01,0.68,0.01,0.06,0,0.13,0.05,4.36,0.2,0.22,1.85,1.39,0.12,0.05,0,0.21,0.02,0.12,0.06,0.14,0.06,0.06,0.03,0.25,0.92,4.01,0.09,0,0.41,0.02,2.23,0.77,1.48,16.03,0.07,0.28,0.03,0,1.32,0.05,0.4,0.01,0.42,34.65,0.27
P436           ,surfsmelt_lg,4.75,0.07,0.15,0.1,6.06,0.11,0.11,0.08,0.62,0.27,1.17,0.02,0.03,0.28,13.28,0.79,0.52,6.87,0.16,0.12,0.08,0.35,0.54,0.34,0.56,0.32,0.42,0,0.13,0.39,3.68,0.15,0.13,11.21,3.76,0.27,0.09,0.05,0.95,0.17,0.32,0.06,1.36,0.26,2.13,0.07,0.2,0.14,0.35,1.52,0.43,0.41,0.1,1.24,0.17,0.54,15.54,0.12,0.35,0.71,0.02,0.41,0.12,0.55,0.04,1.28,17.06,0.26
P437           ,surfsmelt_lg,2.38,0.04,0.05,0.03,3.17,0.08,0.03,0.02,0.16,0.06,0.7,0.03,0,0.39,15.54,2.03,0.31,2.56,0.15,0.17,0.05,0.21,1.19,0.27,0.53,0.16,0.18,0,0.45,0.29,6.33,0.13,0.07,6.16,4.25,0.14,0.05,0.04,0.48,0.22,0.29,0.08,0.29,0.47,0.25,0.1,0.23,0.08,0.55,1.05,0.24,0.26,0.09,5.12,0.09,0.25,14.64,0.02,0.34,0.28,0,0.24,0.29,1.55,0.01,1.68,24.21,0.77
P438           ,surfsmelt_lg,4.74,0.09,0.12,0.08,6.1,0.09,0.07,0.06,0.45,0.17,0.98,0.02,0.03,0.2,14.32,0.81,0.59,6.3,0.13,0.15,0.06,0.25,0.52,0.32,0.5,0.25,0.48,0,0.11,0.27,3.81,0.1,0.12,14.67,3.5,0.24,0.12,0.05,0.95,0.15,0.28,0.06,1.35,0.23,1.96,0.04,0.18,0.11,0.45,1.46,0.28,0.36,0.09,1.38,0.16,0.42,14.37,0.07,0.69,0.65,0.03,0.35,0.11,0.48,0.04,1.06,15.99,0.29
P439           ,surfsmelt_lg,9.57,0.06,0.11,0.06,5.72,0.08,0.06,0.07,0.42,0.16,1.2,0.02,0.02,0.29,14.76,1.5,0.59,6.24,0.14,0.17,0.07,0.34,0.63,0.31,0.58,0.27,0.51,0,0.12,0.26,3.64,0.1,0.17,15.37,4.52,0.28,0.11,0.05,0.7,0.19,0.31,0.07,0.74,0.27,1.28,0.04,0.19,0.12,0.36,1.63,0.28,0.33,0.09,2.35,0.15,0.41,13.44,0.06,0.53,0.6,0.02,0.29,0.18,0.97,0.03,1.12,14.19,0.21
P440           ,surfsmelt_lg,1.77,0.06,0.07,0.04,3.81,0.11,0.05,0.04,0.22,0.09,0.79,0.02,0.01,0.37,15.42,1.6,0.39,2.68,0.15,0.27,0.03,0.17,1.06,0.24,0.56,0.17,0.25,0,0.47,0.3,5.25,0.07,0.08,8.28,4.08,0.16,0.04,0.04,0.58,0.16,0.33,0.07,0.34,0.43,0.36,0,0.22,0.17,0.64,1.69,0.24,0.24,0.09,4.81,0.1,0.25,12.92,0.21,0.94,0.5,0.02,0.24,0.28,1.05,0,1.69,23.07,1.02
P441           ,surfsmelt_lg,2.56,0.04,0.08,0.04,4.74,0.08,0.04,0.04,0.27,0.1,0.93,0.02,0.01,0.27,15.8,2.17,0.33,4.44,0.12,0.31,0.06,0.24,0.81,0.38,0.56,0.25,0.3,0,0.27,0.2,5,0.1,0.18,10.92,5.1,0.17,0.06,0.05,0.64,0.23,0.32,0.09,0.49,0.33,0.67,0.03,0.23,0.17,0.61,1.78,0.28,0.27,0.11,3.91,0.15,0.37,13.64,0.16,0.59,0.68,0.02,0.31,0.27,1.28,0.03,1.39,16.06,0.52
P442           ,surfsmelt_lg,2.59,0.04,0.07,0.03,4.55,0.1,0.04,0.03,0.26,0.09,1.05,0.01,0.01,0.31,14.59,2.67,0.38,4.08,0.15,0.32,0.07,0.27,0.99,0.35,0.61,0.23,0.39,0,0.32,0.13,4.08,0.06,0.09,8.46,5.47,0.21,0.06,0.06,0.55,0.27,0.28,0.1,0.32,0.4,0.47,0.04,0.18,0.18,0.67,1.39,0.2,0.23,0.1,5.05,0.1,0.31,15.07,0.27,0.54,0.42,0.01,0.27,0.27,1.33,0.02,1.72,18.19,0.53
P443           ,surfsmelt_lg,2.75,0.06,0.12,0.05,5.75,0.08,0.04,0.06,0.31,0.11,1.03,0.02,0.01,0.31,13.72,2.1,0.31,4.05,0.13,0.23,0.07,0.27,1.05,0.38,0.65,0.32,0.3,0,0.13,0.31,5.15,0.11,0.14,9.18,4.92,0.19,0.06,0.04,0.66,0.21,0.36,0.08,0.43,0.43,0.53,0.03,0.26,0.2,0.68,2.09,0.24,0.33,0.11,4.14,0.12,0.32,13.68,0.08,0.57,0.78,0.03,0.31,0.3,1.42,0.03,1.59,17.89,0.46
