Lab Code,Species,lipid,c12.0,c13.0,Iso14,c14.0,c14.1w9,c14.1w7,c14.1w5,Iso15,Anti15,c15.0,c15.1w8,c15.1w6,Iso16,c16.0,c16.1w11,c16.1w9,c16.1w7,c7Me16.0,c16.1w5,c16.2w6,Iso17,c16.2w4,c16.3w6,c17.0,c16.3w4,c17.1,c16.3w1,c16.4w3,c16.4w1,c18.0,c18.1w13,c18.1w11,c18.1w9,c18.1w7,c18.1w5,"c18.2d5,11",c18.2w7,c18.2w6,c18.2w4,c18.3w6,c18.3w4,c18.3w3,c18.3w1,c18.4w3,c18.4w1,c20.0,c20.1w11,c20.1w9,c20.1w7,c20.2w9,c20.2w6,c20.3w6,c20.4w6,c20.3w3,c20.4w3,c20.5w3,c22.1w11,c22.1w9,c22.1w7,c22.2w6,c21.5w3,c22.4w6,c22.5w6,c22.4w3,c22.5w3,c22.6w3,c24.1w9
P191,capelin,4.02,0.11,0.04,0.01,7.04,0.2,0.02,0.12,0.12,0.04,0.22,0.04,0.01,0.03,9.64,0.14,0.09,8.55,0.24,0.05,0.05,0.02,0.12,0.34,0.06,0.25,0.05,0,0.05,0.33,0.86,0,0.62,5.11,1.7,0.49,0.02,0,0.95,0.07,0.05,0.03,0.16,0.04,0.51,0.06,0.12,0.5,17.54,1.21,0.11,0.11,0.03,0.17,0.01,0.18,6.45,20.43,2.52,0.42,0.02,0.19,0,0.08,0.02,0.83,9.38,0.94
P192,capelin,2.63,0.11,0.03,0.02,6.67,0.23,0.02,0.12,0.15,0.06,0.24,0.02,0.01,0.03,11.83,0.17,0.11,7.45,0.25,0.1,0.05,0.04,0.21,0.23,0.08,0.11,0.06,0,0.08,0.15,1.12,0,0.64,5.19,2,0.54,0.02,0,1.1,0.06,0.02,0.03,0.25,0.06,0.52,0.05,0.09,0.54,15.04,0.81,0.09,0.14,0.03,0.26,0.02,0.23,7.86,16.2,1.8,0.29,0.02,0.18,0.01,0.11,0.02,0.98,13.66,1.12
P193,capelin,1.92,0.08,0.03,0.03,4.94,0.22,0.02,0.08,0.1,0.04,0.17,0.02,0.01,0.02,12.54,0.13,0.09,4.97,0.19,0.07,0.03,0.03,0.13,0.15,0.05,0.09,0.04,0,0.05,0.09,1.3,0,0.68,5.15,2.48,0.43,0.01,0,1.07,0.06,0.02,0.03,0.19,0.03,0.24,0.05,0.1,0.56,14.49,0.86,0.06,0.13,0.03,0.3,0.02,0.22,9.51,15.33,1.73,0.28,0,0.26,0.02,0.13,0.01,1.46,17.3,1.01
P194,capelin,2.88,0.09,0.02,0.02,5.71,0.19,0.02,0.11,0.08,0.02,0.16,0.02,0.01,0.02,9.83,0.14,0.1,6.56,0.18,0.05,0.03,0.02,0.15,0.22,0.05,0.15,0.04,0,0.04,0.22,0.96,0,0.8,4.42,1.94,0.46,0,0,0.99,0.07,0.03,0.02,0.12,0.04,0.27,0.07,0.1,0.53,18.19,1.34,0.08,0.12,0.03,0.21,0.01,0.18,7.27,19.71,2.69,0.41,0.02,0.2,0,0.07,0,1.14,12.12,0.93
P318,capelin,1.64,0.06,0.02,0.02,3.21,0.17,0.01,0.05,0.08,0.03,0.2,0.02,0,0.2,12.59,0.24,0.19,3.43,0.22,0.06,0.02,0.04,0.26,0.12,0.07,0.07,0.07,0,0.26,0.24,1.57,0.03,0.75,5.25,2.54,0.53,0.03,0.02,0.97,0.09,0.04,0.04,0.18,0.08,0.37,0.15,0.1,0.73,13.79,0.92,0.06,0.14,0.05,0.41,0.02,0.31,12.14,12.73,1.92,0.22,0.02,0.31,0.06,0.09,0.02,1.69,18.48,0.88
P319,capelin,3.51,0.09,0.03,0.01,6.54,0.23,0.02,0.13,0.11,0.04,0.21,0.03,0.01,0.12,10.79,0.2,0.12,8.86,0.23,0.03,0.06,0.06,0.23,0.4,0.07,0.24,0.06,0,0.11,0.12,0.95,0.05,0.57,4.6,2,0.6,0.02,0.01,1.22,0.09,0.1,0.03,0.19,0.06,0.74,0.14,0.1,0.55,17.25,1.43,0.11,0.2,0.05,0.25,0.03,0.3,8.89,16.63,2.67,0.41,0.01,0.23,0.04,0.04,0.03,0.89,8.19,0.7
P320,capelin,3.16,0.11,0.03,0.03,6.97,0.22,0.02,0.12,0.12,0.04,0.22,0.03,0.01,0.11,10.46,0.19,0.14,8.44,0.22,0.03,0.05,0.06,0.2,0.34,0.06,0.24,0.06,0,0.23,0.22,1.01,0.04,0.77,5.01,2.06,0.51,0.03,0.01,1.11,0.08,0.09,0.03,0.17,0.06,0.56,0.13,0.11,0.63,18.77,1.17,0.09,0.15,0.05,0.26,0.02,0.25,8.08,17.83,2.34,0.35,0.02,0.22,0.03,0.04,0.03,0.9,7.04,0.76
P321,capelin,3.51,0.08,0.03,0.03,6.44,0.2,0.02,0.12,0.11,0.04,0.2,0.02,0.01,0.11,10.25,0.18,0.11,8.52,0.22,0.04,0.05,0.06,0.22,0.4,0.07,0.24,0.06,0,0.11,0.14,0.89,0.04,0.69,4.66,2.03,0.56,0.03,0.01,1.13,0.09,0.09,0.03,0.18,0.06,0.64,0.13,0.11,0.65,17.88,1.4,0.11,0.18,0.05,0.22,0.03,0.26,8.01,18.51,2.9,0.46,0.03,0.19,0.04,0.04,0.03,0.79,7.61,0.79
P322,capelin,5.24,0.07,0.03,0.04,5.67,0.2,0.02,0.09,0.11,0.03,0.21,0.02,0.01,0.17,12.84,0.21,0.15,6.32,0.24,0.06,0.04,0.06,0.28,0.25,0.08,0.15,0.07,0,0.31,0.29,1.25,0.03,0.66,5.16,2.22,0.55,0.02,0.01,1.18,0.09,0.07,0.03,0.18,0.08,0.48,0.14,0.1,0.7,14.91,1.15,0.08,0.17,0.04,0.34,0.02,0.29,11,14.17,2.08,0.31,0.02,0.24,0.06,0.07,0.02,1.03,11.95,0.82
P323,capelin,2.28,0.08,0.03,0.03,6.03,0.19,0.02,0.1,0.11,0.03,0.22,0.02,0.01,0.15,12.85,0.21,0.13,7.5,0.23,0.06,0.04,0.06,0.25,0.27,0.09,0.15,0.06,0,0.18,0.21,1.13,0.04,0.55,4.73,2.18,0.58,0.02,0.01,1.41,0.09,0.09,0.03,0.21,0.09,0.61,0.13,0.09,0.54,15.32,1.19,0.09,0.19,0.05,0.31,0.03,0.28,10.56,14.15,2.23,0.33,0.01,0.24,0.03,0.06,0.02,1.02,11.17,0.74
P324,capelin,6.66,0.09,0.04,0.04,6.99,0.22,0.02,0.14,0.11,0.04,0.19,0.02,0.01,0.09,8.23,0.16,0.11,7.6,0.18,0.04,0.05,0.06,0.19,0.3,0.05,0.19,0.05,0,0.13,0.14,0.78,0.04,0.63,3.96,1.68,0.49,0.02,0.01,1.04,0.07,0.08,0.03,0.15,0.06,0.54,0.09,0.13,0.55,22.88,1.82,0.12,0.18,0.04,0.21,0.02,0.23,6.46,20.94,3.34,0.5,0.01,0.14,0.03,0.03,0.02,0.66,5.44,0.75
P325,capelin,1.79,0.11,0.03,0.04,7.67,0.25,0.02,0.15,0.14,0.05,0.21,0.03,0.01,0.07,9.29,0.17,0.11,9.49,0.2,0.04,0.06,0.07,0.18,0.43,0.06,0.27,0.06,0,0.06,0.07,0.72,0.06,0.43,4.4,1.76,0.58,0.03,0.01,1.12,0.08,0.1,0.03,0.17,0.05,0.66,0.1,0.12,0.4,20.79,1.54,0.12,0.18,0.04,0.16,0.02,0.25,6.22,20.14,3.11,0.52,0.01,0.17,0.02,0.03,0.03,0.59,4.55,0.86
P326,capelin,1.78,0.07,0.03,0.05,3.57,0.25,0.01,0.04,0.09,0.03,0.19,0.03,0.01,0.31,13.51,0.26,0.17,3.5,0.28,0.07,0.02,0.05,0.3,0.13,0.07,0.06,0.05,0,0.52,0.45,1.42,0.03,0.79,4.98,2.49,0.59,0.02,0,0.9,0.1,0.05,0.04,0.17,0.09,0.34,0.19,0.1,0.42,14.68,0.88,0.06,0.13,0.05,0.52,0.02,0.3,13.02,13.81,1.94,0.26,0.02,0.25,0.04,0.08,0.03,1.32,14.01,0.96
P327,capelin,4.9,0.09,0.03,0.03,6.76,0.18,0.02,0.15,0.13,0.04,0.23,0.03,0.01,0.07,9.68,0.19,0.1,12.6,0.24,0.04,0.08,0.08,0.17,0.66,0.06,0.48,0.08,0,0.06,0.08,0.75,0.06,0.55,4.31,1.92,0.61,0.03,0.02,1.29,0.11,0.16,0.04,0.21,0.05,1.14,0.2,0.1,0.44,17.27,1.45,0.12,0.2,0.05,0.2,0.03,0.33,8.91,16.49,2.54,0.49,0.01,0.25,0.02,0.03,0.04,0.84,5.52,0.63
P328,capelin,3.73,0.09,0.03,0.03,6.6,0.22,0.02,0.12,0.11,0.04,0.19,0.02,0.01,0.09,9.37,0.17,0.11,9.23,0.2,0.05,0.06,0.06,0.17,0.41,0.06,0.28,0.06,0,0.14,0.13,0.88,0.05,0.65,4.13,1.91,0.56,0.03,0.01,1.06,0.09,0.09,0.03,0.15,0.05,0.61,0.11,0.11,0.55,20.15,1.52,0.11,0.18,0.04,0.21,0.02,0.25,7.64,19.15,2.86,0.5,0.02,0.2,0.03,0.03,0.03,0.8,6.08,0.74
P329,capelin,4.02,0.1,0.03,0.03,7.05,0.23,0.03,0.14,0.12,0.04,0.22,0.03,0.01,0.09,10.07,0.19,0.13,10.98,0.25,0.03,0.07,0.07,0.16,0.52,0.05,0.39,0.07,0,0.1,0.12,0.75,0.04,0.57,4.31,1.97,0.56,0.03,0.01,1.13,0.09,0.12,0.03,0.18,0.05,0.78,0.14,0.1,0.47,18.51,1.27,0.1,0.17,0.05,0.21,0.02,0.28,8.48,16.82,2.33,0.42,0.02,0.23,0.03,0.04,0.03,0.85,6.39,0.67
P330,capelin,6,0.09,0.03,0.03,6.89,0.17,0.03,0.14,0.14,0.05,0.23,0.03,0.01,0.06,10.12,0.17,0.11,10.84,0.22,0.04,0.07,0.08,0.17,0.5,0.07,0.32,0.08,0,0.06,0.06,0.84,0.04,0.5,4.57,1.84,0.58,0.03,0.01,1.24,0.09,0.13,0.03,0.2,0.05,0.92,0.13,0.11,0.42,17.54,1.46,0.11,0.2,0.05,0.17,0.03,0.29,7.63,17.45,2.73,0.48,0.01,0.24,0.01,0.04,0.04,0.78,7.23,0.78
P331,capelin,4.32,0.09,0.02,0.03,6.51,0.17,0.03,0.13,0.13,0.04,0.22,0.03,0.01,0.07,11.2,0.19,0.11,11.63,0.25,0.05,0.07,0.07,0.16,0.59,0.08,0.44,0.09,0,0.06,0.07,0.92,0.04,0.5,4.5,1.97,0.59,0.04,0.01,1.2,0.1,0.14,0.04,0.2,0.06,0.94,0.17,0.09,0.41,15.31,1.11,0.1,0.17,0.05,0.23,0.03,0.32,9.39,14.1,2.07,0.39,0.02,0.28,0.02,0.05,0.05,0.93,10.02,0.74
P332,capelin,3.16,0.09,0.02,0.03,5.42,0.2,0.02,0.09,0.1,0.03,0.17,0.02,0.01,0.07,10.25,0.2,0.14,7.44,0.2,0.06,0.05,0.05,0.17,0.33,0.06,0.23,0.05,0,0.11,0.1,1.16,0.04,0.7,4.05,1.86,0.48,0.03,0.01,0.85,0.08,0.07,0.03,0.14,0.06,0.45,0.11,0.1,0.33,19.78,1.25,0.09,0.13,0.04,0.26,0.03,0.23,8.16,17.59,2.48,0.39,0.02,0.22,0.01,0.05,0.02,1.06,10.85,0.82
P344           ,capelin,1.59,0.05,0.02,0.03,4.17,0.18,0.02,0.05,0.08,0.03,0.23,0.01,0,0.14,15.11,0.28,0.17,5.41,0.29,0.09,0.03,0.06,0.28,0.21,0.11,0.12,0.06,0,0.16,0.19,1.56,0.02,0.63,4.85,2.62,0.6,0.04,0,1.1,0.12,0.07,0.04,0.19,0.11,0.5,0.17,0.07,0.45,8.9,0.65,0.05,0.17,0.05,0.54,0.02,0.35,14.75,7.16,1.04,0.16,0,0.33,0,0.1,0.03,1.7,22.36,0.76
P345           ,capelin,3.56,0.07,0.02,0.03,5.73,0.14,0.02,0.12,0.1,0.03,0.21,0.02,0.01,0.06,10.46,0.19,0.13,10.71,0.25,0.06,0.07,0.06,0.12,0.52,0.06,0.38,0.04,0,0.08,0.96,0.73,0.04,0.56,3.54,1.8,0.57,0.03,0.02,1.14,0.1,0.13,0.03,0.17,0.05,0.86,0.18,0.1,0.35,16.97,1.3,0.1,0.16,0.04,0.31,0.02,0.29,9.61,15.95,2.33,0.44,0.02,0.26,0,0.05,0.04,1.07,9.41,0.66
P346           ,capelin,5.53,0.12,0.03,0.04,8.04,0.21,0.03,0.15,0.14,0.05,0.23,0.03,0.01,0.06,9.26,0.15,0.11,10.86,0.2,0.07,0.06,0.06,0.12,0.43,0.05,0.28,0.08,0,0.09,0.72,0.76,0.03,0.46,5.23,1.68,0.49,0.03,0.02,1.22,0.07,0.12,0.04,0.19,0.05,0.74,0.1,0.11,0.64,19.62,1.37,0.11,0.17,0.04,0.37,0.02,0.26,6.13,18.07,2.59,0.45,0.02,0.2,0.01,0.03,0.03,0.63,5.54,0.77
P347           ,capelin,3.54,0.11,0.03,0.03,6.84,0.21,0.02,0.11,0.1,0.04,0.2,0.02,0.01,0.06,9.84,0.15,0.11,7.79,0.18,0.07,0.05,0.06,0.14,0.32,0.06,0.2,0.04,0,0.1,0.51,0.92,0.03,0.54,4.01,1.7,0.49,0.02,0,1.02,0.07,0.09,0,0.16,0.06,0.53,0.09,0.12,0.62,19.29,1.37,0.1,0.16,0.04,0.39,0.02,0.24,7.26,19.2,2.8,0.42,0.02,0.22,0,0.05,0.02,0.85,8.68,0.82
P348           ,capelin,3.57,0.08,0.03,0.04,7.12,0.22,0.02,0.13,0.13,0.05,0.23,0.03,0.01,0.08,10.05,0.18,0.12,8.32,0.23,0.09,0.06,0.06,0.17,0.39,0.07,0.23,0.08,0,0.11,0.6,0.82,0.04,0.48,5.18,1.63,0.54,0.03,0.02,0.97,0.08,0.1,0.04,0.19,0.07,0.72,0.11,0.11,0.6,17.86,1.19,0.11,0.17,0.04,0.32,0.03,0.28,7.71,17.82,2.58,0.41,0.02,0.23,0,0.05,0.03,0.79,8.84,0.92
P349           ,capelin,2.59,0.1,0.03,0.04,6.6,0.23,0.02,0.11,0.11,0.04,0.2,0.02,0.01,0.09,10.17,0.18,0.14,6.52,0.19,0.09,0.04,0.05,0.18,0.24,0.1,0.14,0.05,0,0.16,0.27,1.08,0.03,0.56,5.06,1.9,0.46,0.02,0,0.92,0.08,0.07,0.03,0.13,0.07,0.34,0.09,0.11,0.68,18.74,1.36,0.09,0.16,0.03,0.44,0.02,0.22,7.94,16.11,2.53,0.39,0.02,0.18,0,0.05,0.01,0.95,11.8,0.95
P350           ,capelin,2.03,0.07,0.02,0.03,4.76,0.17,0.02,0.06,0.08,0.03,0.18,0.01,0,0.1,13.39,0.25,0.17,5.12,0.23,0.1,0.03,0.05,0.24,0.18,0.1,0.1,0.05,0,0.17,0.17,1.49,0.04,0.71,4.67,2.2,0.54,0.03,0.01,0.99,0.09,0.07,0.02,0.16,0.1,0.4,0.14,0.09,0.78,13.22,0.92,0.07,0.14,0.04,0.44,0.01,0.27,11.48,12.68,1.89,0.25,0,0.27,0,0.08,0,1.33,17.37,0.99
P351           ,capelin,4.09,0.09,0.03,0.03,6.85,0.21,0.02,0.12,0.11,0.04,0.21,0.02,0.01,0.06,10.12,0.19,0.13,9.19,0.22,0.07,0.06,0.06,0.15,0.43,0.07,0.28,0.06,0,0.11,0.72,0.84,0.05,0.59,4.41,1.74,0.54,0.03,0.02,1.02,0.09,0.1,0.03,0.17,0.07,0.68,0.13,0.1,0.46,18.04,1.3,0.1,0.16,0.04,0.25,0.02,0.26,7.79,17.38,2.53,0.43,0.02,0.22,0,0.04,0.03,0.92,9.06,0.8
P352           ,capelin,2.19,0.08,0.02,0.03,5.33,0.17,0.02,0.08,0.09,0.03,0.18,0.01,0.01,0.09,11.85,0.17,0.12,6.41,0.21,0.07,0.04,0.05,0.14,0.24,0.08,0.16,0.04,0,0.14,0.29,1.13,0.03,0.61,4.11,2.01,0.51,0.02,0,0.98,0.08,0.07,0.02,0.13,0.06,0.37,0.11,0.1,0.6,15.85,1.15,0.08,0.15,0.04,0.41,0.02,0.26,9.92,14.9,2.2,0.35,0.02,0.24,0,0.07,0.02,1.28,14.91,0.88
P353           ,capelin,3.24,0.08,0.03,0.04,6.46,0.19,0.02,0.11,0.1,0.04,0.21,0.02,0.01,0.07,10.6,0.17,0.11,7.49,0.22,0.08,0.05,0.06,0.17,0.34,0.08,0.19,0.06,0,0.11,0.52,0.93,0.04,0.51,4.37,1.77,0.57,0.04,0.02,1.06,0.09,0.09,0.03,0.19,0.07,0.63,0.12,0.12,0.64,17.11,1.23,0.1,0.17,0.04,0.28,0.02,0.28,8.31,17.25,2.57,0.4,0.02,0.23,0,0.05,0.03,0.93,10.76,0.82
P147,coho,5.84,0.07,0.03,0.04,5.25,0.11,0.05,0.08,0.21,0.07,0.44,0.01,0.01,0.11,20.09,0.53,0.2,6.92,0.27,0.04,0.11,0.13,0.08,0.95,0.24,0.6,0.32,0,0.12,0.67,3.42,0.1,0.17,12.15,4.93,0.16,0.01,0.08,1.27,0.12,0.13,0.2,1.41,0.01,2.69,0.15,0.09,0.22,0.45,0.28,0.03,0.12,0.11,1.1,0.09,0.89,13.57,0.3,0.13,0.08,0,0.58,0.14,0.21,0.05,3.96,12.61,0.35
P148,coho,4.47,0.07,0.03,0.03,3.97,0.08,0.04,0.06,0.18,0.06,0.4,0,0.01,0.09,18.17,0.43,0.22,5.66,0.2,0.06,0.08,0.11,0.17,0.71,0.28,0.43,0.29,0,0.11,0.45,3.86,0.07,0.19,13.82,4.36,0.19,0.03,0.07,1.19,0.12,0.11,0.17,1.39,0.04,2.15,0.13,0.1,0.3,0.59,0.25,0.04,0.15,0.09,1.26,0.1,0.85,12.37,0.31,0.12,0.07,0,0.47,0.15,0.24,0.07,4.11,17.64,0.52
P149,coho,2.51,0.06,0.02,0.03,4.11,0.09,0.04,0.06,0.17,0.06,0.38,0,0.01,0.08,19.08,0.45,0.22,5.77,0.22,0.05,0.09,0.12,0.07,0.8,0.25,0.48,0.27,0,0.12,0.48,3.68,0.07,0.17,11.25,4.97,0.15,0.02,0.08,1.21,0.13,0.11,0.21,1.24,0.03,1.99,0.14,0.08,0.13,0.45,0.37,0.01,0.17,0.12,1.45,0.1,0.9,13.11,0.14,0.11,0.09,0,0.52,0.16,0.25,0.06,5.23,17.15,0.45
P150,coho,5.91,0.07,0.03,0.04,4.97,0.1,0.04,0.07,0.2,0.07,0.41,0.01,0.01,0.1,19.57,0.5,0.19,6.72,0.24,0.04,0.11,0.12,0.06,0.99,0.24,0.63,0.3,0,0.12,0.68,3.52,0.05,0.17,11.96,5.16,0.15,0.02,0.09,1.27,0.13,0.14,0.2,1.36,0.01,2.58,0.18,0.08,0.12,0.41,0.3,0.03,0.13,0.11,1.21,0.09,0.87,14.66,0.15,0.11,0.08,0,0.58,0.13,0.21,0.05,4.08,12.67,0.34
P151,coho,4.13,0.07,0.03,0.03,3.8,0.08,0.03,0.06,0.17,0.06,0.38,0,0.01,0.08,18.52,0.4,0.21,5.84,0.21,0.04,0.08,0.12,0.11,0.7,0.29,0.4,0.28,0,0.13,0.41,3.98,0.06,0.17,12.51,4.68,0.18,0.03,0.06,1.22,0.12,0.11,0.18,1.31,0.02,2.1,0.13,0.11,0.14,0.57,0.32,0.03,0.17,0.11,1.35,0.11,0.86,12.9,0.12,0.11,0.08,0,0.48,0.15,0.24,0.06,4.52,17.88,0.39
P152,coho,2.58,0.07,0.02,0.02,2.74,0.1,0.02,0.06,0.1,0.03,0.23,0,0,0.05,16.87,0.23,0.23,4.73,0.14,0.07,0.07,0.07,0.14,0.48,0.2,0.32,0.2,0,0.13,0.51,4.33,0.03,0.18,17.2,4.05,0.23,0.02,0.06,0.89,0.18,0.08,0.17,0.51,0.03,1.1,0.19,0.12,0.42,1.01,0.25,0.03,0.19,0.1,1.52,0.07,0.72,12.02,0.54,0.18,0.1,0,0.44,0.16,0.18,0.05,5.26,18.99,0.67
P153,coho,3.45,0.07,0.02,0.02,3.46,0.08,0.02,0.05,0.13,0.04,0.28,0,0,0.06,17.13,0.34,0.19,4.86,0.15,0.08,0.06,0.08,0.19,0.51,0.22,0.28,0.21,0,0.1,0.28,3.81,0.05,0.34,19.2,3.65,0.26,0.02,0.06,0.88,0.13,0.08,0.18,0.72,0.04,1.11,0.15,0.11,1.79,1.27,0.29,0.04,0.16,0.1,1.26,0.08,0.68,9.76,1.59,0.27,0.1,0,0.35,0.17,0.23,0.06,4.02,17.34,0.8
P154,coho,2.8,0.08,0.02,0.03,3.66,0.1,0.03,0.05,0.14,0.06,0.34,0,0,0.07,17.04,0.4,0.21,4.93,0.22,0.05,0.08,0.09,0.16,0.58,0.29,0.34,0.22,0,0.12,0.37,4.06,0.05,0.33,12.26,4.13,0.28,0.03,0.06,1.08,0.15,0.09,0.19,1.03,0.04,1.65,0.17,0.15,1.64,0.85,0.29,0.04,0.18,0.1,1.41,0.1,0.85,12.13,1.56,0.17,0.09,0,0.42,0.15,0.24,0.06,4.65,19.22,0.51
P155,coho,5.24,0.08,0.03,0.04,4.62,0.09,0.05,0.07,0.18,0.07,0.41,0.01,0.01,0.09,19.07,0.46,0.19,6.61,0.23,0.03,0.1,0.12,0.08,0.9,0.25,0.56,0.32,0,0.12,0.61,3.56,0.07,0.18,13.44,4.9,0.17,0.03,0.08,1.23,0.13,0.13,0.2,1.34,0.01,2.44,0.19,0.12,0.37,0.54,0.29,0.03,0.14,0.11,1.19,0.09,0.9,12.81,0.35,0.11,0.08,0,0.55,0.15,0.21,0.06,4.83,13.38,0.3
P156,coho,5.69,0.07,0.03,0.05,4.52,0.1,0.04,0.07,0.19,0.06,0.39,0.01,0.01,0.09,18.82,0.46,0.2,6.34,0.22,0.04,0.1,0.12,0.14,0.83,0.25,0.52,0.3,0,0.13,0.58,3.86,0.06,0.17,13.09,4.7,0.18,0.02,0.07,1.21,0.13,0.13,0.2,1.3,0.04,2.35,0.19,0.11,0.24,0.72,0.28,0.03,0.14,0.11,1.17,0.09,0.91,13.13,0.32,0.13,0.08,0,0.53,0.14,0.22,0.06,4.36,14.51,0.42
P157,coho,4.26,0.06,0.02,0.02,2.95,0.12,0.02,0.06,0.1,0.05,0.23,0.01,0,0.04,14.96,0.29,0.25,4.75,0.12,0.06,0.05,0.07,0.31,0.33,0.25,0.19,0.19,0,0.09,0.2,4.8,0.06,0.46,17.74,3.23,0.38,0.02,0.04,0.64,0.17,0.04,0.17,0.46,0.07,0.6,0.18,0.2,3.09,1.69,0.32,0.05,0.16,0.07,1.23,0.06,0.54,8.49,3.02,0.28,0.14,0,0.27,0.17,0.22,0.06,4.3,20.03,0.86
P158,coho,4.56,0.07,0.03,0.04,4.37,0.09,0.04,0.07,0.18,0.08,0.41,0.01,0.01,0.09,19.12,0.45,0.21,5.92,0.26,0.05,0.09,0.12,0.1,0.75,0.28,0.46,0.28,0,0.13,0.54,4.15,0.05,0.16,13.13,4.89,0.22,0.03,0.08,1.2,0.14,0.13,0.18,1.2,0.01,2.28,0.17,0.14,0.18,0.52,0.3,0.03,0.16,0.12,1.17,0.1,0.86,12.73,0.18,0.1,0.1,0,0.52,0.13,0.24,0.05,4.49,15.28,0.4
P159,coho,4.37,0.07,0.02,0.03,3.8,0.08,0.03,0.06,0.16,0.06,0.39,0,0.01,0.07,18.2,0.41,0.21,5.5,0.21,0.07,0.07,0.11,0.15,0.6,0.3,0.37,0.31,0,0.12,0.37,4.27,0.04,0.14,15.36,4.32,0.2,0.03,0.06,1.13,0.11,0.1,0.19,1.22,0.04,1.91,0.15,0.13,0.52,0.72,0.27,0.03,0.16,0.11,1.16,0.1,0.95,11.46,0.41,0.13,0.09,0.01,0.44,0.15,0.25,0.07,4.08,17.27,0.5
P160,coho,3.78,0.06,0.03,0.03,3.38,0.06,0.03,0.05,0.15,0.05,0.36,0,0,0.07,17.56,0.37,0.25,5.03,0.17,0.07,0.06,0.1,0.19,0.51,0.3,0.29,0.27,0,0.11,0.29,4.49,0.04,0.12,17.05,3.9,0.18,0.02,0.06,1.09,0.1,0.09,0.16,1.12,0.04,1.6,0.1,0.11,0.25,0.81,0.24,0.03,0.15,0.11,1.23,0.09,0.89,10.49,0.19,0.13,0.07,0,0.38,0.14,0.27,0.08,4.55,19.28,0.59
P161,coho,3.12,0.07,0.03,0.02,3.06,0.05,0.02,0.04,0.13,0.05,0.33,0,0,0.05,17.64,0.33,0.21,4.62,0.16,0.06,0.06,0.1,0.17,0.5,0.29,0.28,0.27,0,0.11,0.26,4.13,0.05,0.23,17.18,3.95,0.2,0.03,0.05,1,0.11,0.08,0.16,1.03,0.04,1.36,0.1,0.11,0.93,0.88,0.31,0.03,0.17,0.09,1.36,0.09,0.72,10.3,0.7,0.16,0.09,0.01,0.36,0.16,0.24,0.07,4.43,19.68,0.61
P162,coho,4.5,0.06,0.03,0.04,4.49,0.11,0.04,0.06,0.18,0.07,0.38,0.01,0.01,0.09,19.14,0.46,0.19,6.41,0.22,0.03,0.1,0.12,0.07,0.93,0.23,0.55,0.28,0,0.13,0.61,3.65,0.04,0.16,11.48,5.15,0.15,0.02,0.09,1.28,0.13,0.13,0.22,1.34,0.01,2.3,0.19,0.1,0.14,0.45,0.32,0.02,0.14,0.13,1.33,0.09,0.98,14.03,0.17,0.11,0.08,0,0.55,0.15,0.22,0.06,5.01,14.29,0.36
P163,coho,2.97,0.09,0.02,0.02,2.72,0.11,0.02,0.07,0.09,0.04,0.21,0,0,0.06,16.3,0.23,0.18,5.03,0.1,0.06,0.08,0.06,0.17,0.56,0.18,0.32,0.17,0,0.12,0.56,4.75,0.03,0.19,17.02,4.17,0.28,0.02,0.06,0.7,0.2,0.07,0.17,0.35,0.05,0.82,0.21,0.17,0.79,1.01,0.35,0.04,0.17,0.09,1.74,0.05,0.56,13.59,0.79,0.18,0.1,0.01,0.55,0.2,0.17,0.04,5.63,16.56,0.62
P164,coho,4.37,0.07,0.03,0.03,3.79,0.06,0.03,0.06,0.17,0.06,0.42,0.01,0.01,0.09,17.92,0.43,0.21,5.37,0.24,0.05,0.07,0.12,0.14,0.6,0.33,0.32,0.31,0,0.15,0.34,3.77,0.05,0.2,12.83,4.43,0.25,0.03,0.06,1.29,0.12,0.11,0.19,1.46,0.04,2.2,0.16,0.13,0.53,0.8,0.28,0.04,0.18,0.12,1.26,0.13,1.19,11.8,0.5,0.14,0.07,0.01,0.49,0.14,0.25,0.09,4.27,18.51,0.53
P165,coho,4.78,0.12,0.02,0.01,4.15,0.16,0.02,0.12,0.09,0.03,0.23,0.01,0.01,0.05,17.1,0.2,0.15,7.89,0.13,0.03,0.14,0.04,0.09,0.94,0.13,0.98,0.16,0,0.07,1.29,3.25,0.03,0.37,16.43,3.97,0.31,0.02,0.06,0.66,0.28,0.1,0.32,0.24,0.03,1.05,0.34,0.12,0.92,1.76,0.34,0.04,0.16,0.1,1.15,0.03,0.52,13.62,1.36,0.25,0.12,0,0.68,0.13,0.09,0.03,4.82,11.52,0.47
P374           ,coho,3.56,0.07,0.02,0.04,4.12,0.09,0.04,0.06,0.17,0.06,0.37,0.01,0.01,0.22,18.88,0.44,0.2,5.9,0.24,0.04,0.1,0.18,0.08,0.8,0.31,0.5,0.27,0,0.17,0.48,3.87,0.09,0.14,12.8,4.9,0.16,0,0.09,1.19,0.14,0.17,0.2,1.3,0.06,2,0.14,0.1,0.28,0.55,0.29,0.03,0.14,0.12,1.89,0.08,0.76,12.28,0.22,0.09,0.07,0.22,0.49,0.12,0.23,0.06,5.02,15.49,0.46
